listing_type,property_type,price_aed,price_frequency,price_per_sqft_aed,mortgage_monthly_aed,bedrooms,bathrooms,size_sqft,size_sqm,parking_slots,furnishing,status,floor,building,community,area,city,zone,title,description,features,amenities,listed_on,permit_number,latitude,longitude,image_count
buy,Apartment,4524999.0,,2923.0,,2,2.0,1548.0,143.81,,Unfurnished,Off Plan Primary,,,One By Binghatti,Business Bay,Dubai,Business Bay,Canal Views | Prime Location |  Luxury,"Joe from White and Co is delighted to be bringing to the market this 2 bedroom apartment, currently in development by the world renowned developer Binghatti. Binghatti is a renowned Emirati property brand in Dubai. The brand stands as an emblem of excellence within the global real estate sector. Prominent for its distinguished portfolio comprising some of the world’s most iconic architectural marvels.

Embracing a lifestyle of sophistication and luxury in the heart along with picturesque waterfront, this exclusive development redefines modern living with its exquisite design and unparalleled amenities. From the crystalline glass facades to the brass finishes, every element of the architecture is intended to enhance the living experience, providing residents with a sophisticated and serene environment.

Property Features:
- 2 bedrooms 
- 2 bathrooms 
- 1548.92 Square Feet 
- Canal views 
- Directly on canal 
- Smart home

Please contact Joe at White&Co for any enquiries.",,,2025-12-11T07:02:26Z,71618500777,25.183650970458984,55.263912200927734,10
buy,Apartment,2500000.0,,1805.0,,2,2.0,1385.0,128.67,,Furnished,Completed,,Tower A,DAMAC Towers by Paramount,Business Bay,Dubai,Business Bay,High Floor | Fully Furnished | Prime Location,"Luxury 2-Bedroom Apartment in Damac Towers by Paramount – 69th Floor
This exquisite 2-bedroom residence in the prestigious Damac Towers by Paramount. Offering an elegant blend of sophistication and comfort, this high-floor unit boasts breathtaking panoramic views of Dubai’s iconic skyline.

Property Highlights:
- Spacious Layout – 1,385.85 sq. ft. of refined living space
- 69th Floor – Enjoy mesmerizing city views
- Sun-Filled Interiors – Abundant natural light
- Modern & Well-Maintained – Move-in ready

World-Class Amenities (8th Floor):
- Infinity Pool with spectacular skyline views
- Fine-Dining Restaurants & Chic Cafés
- Fully Equipped Gym & Relaxing Spa Facilities

Additional Perks:
- Ample Parking – Convenient spaces for multiple cars
- Peaceful Living – Quiet ambiance despite the central location

Prime Downtown Location:
Nestled in the vibrant heart of Downtown Dubai, this stunning residence offers seamless access to Dubai Mall, Burj Khalifa, and world-class dining & entertainment options.

Don’t Miss Out! Contact us today to schedule a viewing.",,"[""Children's Play Area"", ""Covered Parking"", ""Lobby in Building"", ""Balcony"", ""Central A/C"", ""Shared Pool"", ""Built in Wardrobes"", ""Kitchen Appliances"", ""Children's Pool""]",2026-01-12T08:59:19Z,7136612866,25.186037063598633,55.291751861572266,21
buy,Apartment,1550000.0,,1648.0,,1,2.0,940.0,87.33,,Furnished,Completed,,Tower A,DAMAC Towers by Paramount,Business Bay,Dubai,Business Bay,Fully Furnished I Luxury Living I High ROI,"Luxury Living at Damac Towers by Paramount | 1-Bedroom Apartment for SALE

We are delighted to present this stunning, spacious, and elegantly furnished 1-bedroom apartment for SALE in the prestigious Damac Towers by Paramount, Business Bay.

Property Highlights
- Resort-Style Living – Inspired by Hollywood luxury
- High-Floor Unit – Breathtaking views
- Fully Furnished – Modern interiors with high-end finishes
- Spacious Layout – Thoughtfully designed 1-bedroom apartment
- Premium Amenities – World-class facilities for a lavish lifestyle

Apartment Details
- Size: 940.98 Sq. Ft
- Balcony: Large private space
- Bathrooms: 2 modern bathrooms
- Kitchen: Semi-open, fully fitted
- Storage: Built-in wardrobes & utility room
- Parking: 1 allocated space

Building & Community Features
- Infinity Lounge Pool – Relax in a serene, resort-style setting
- Outdoor Calisthenics Gym – Stay fit with open-air workouts
- Indoor Gym & Sauna – State-of-the-art fitness & wellness facilities
- Luxury Hotel Ambience – Paramount-inspired cinematic living
- Prime Business Bay Location – Close to Dubai’s top attractions

Prime Location
- 3 Mins – Nearest Metro Station
- 5 Mins – Burj Khalifa, Dubai Mall & Downtown Dubai
- 15 Mins – Dubai International Airport
- 20 Mins – Dubai Marina

Experience Hollywood-style luxury in the heart of Dubai!

Contact us today for more details and to schedule a viewing.",,"[""Security"", ""Children's Play Area"", ""Covered Parking"", ""Lobby in Building"", ""Balcony""]",2026-01-12T08:59:51Z,7136612870,25.186037063598633,55.291751861572266,12
buy,Apartment,1100000.0,,2576.0,,Studio,1.0,427.0,39.67,,Furnished,Off-plan,,,The Paragon by IGO,Business Bay,Dubai,Business Bay,MIDDLE FLOOR | BEST POOL VIEW| FULLY FURNISHED,"FOR YOU Real Estate is thrilled to present a new modern studio at Prime Location in Business Bay. Perfectly located near Downtown Dubai and the citys prime economic hubs, this property offers unmatched luxury and convenience for the modern buyer.

Amenities
﻿﻿Fitness Centre and Gym
﻿﻿24/7 Security
﻿﻿Infinity Pool
﻿﻿Landscape Garden Deck
﻿﻿Multipurpose Room
﻿﻿Hi-tech Golf Simulator
﻿﻿Private Residence Cinema
﻿﻿Modern and Spacious Sundeck
﻿﻿Generous Outdoor Lounge Terrace
﻿﻿Barbecue Area with Private Seating

Location Access:
﻿﻿10 mins to Downtown Dubai
﻿﻿20 mins to Marina Mall
﻿﻿15 mins to Dxb Airport

In FOR YOU REAL ESTATE 
We provide a full range of services from consulting and selection of investment-profitable real estate to receiving dividends from your investments.
Advantages of working with us:
 - Detailed market analysis — we will select the appropriate object based on your request
 - We will take over the entire transaction process from purchase to sale, marketing placement and rental
 - Many developers have access to exclusive lots and the best options
 - We provide first-class service. We are always for long-term cooperation
 - Our team has the best brokers
 - We have been working in the market with premium clients for a long time.

For You Real Estate L.L.C. is based in The Onyx Tower 2, office 505 with a team of agents who are focused on the sales, rentals and management of properties in Dubai.",,"[""Central A/C"", ""Balcony"", ""Shared Pool"", ""Security"", ""Concierge"", ""Covered Parking"", ""Shared Gym"", ""Lobby in Building"", ""Barbecue Area""]",2025-03-04T13:36:47Z,71429923394,25.180246353149414,55.27382278442383,8
buy,Apartment,2800000.0,,1645.0,,3,4.0,1702.0,158.12,,,Completed,,Aykon City Tower B,Aykon City,Business Bay,Dubai,Business Bay,Burj and Sea View | Furnished | Vacant,"Smart Start Properties is delighted to present this brand-new, fully furnished 3-bedroom apartment in Aykon Tower B, situated in the heart of Business Bay.

Aykon offers an unparalleled lifestyle, surrounded by premium retail stores, five-star hotels, world-class dining, stylish bars, and wellness centers. Whether you’re looking for a new home or a lucrative investment, this prestigious community is an excellent choice.

Property Details:
• 3 Bedrooms
• 4 Bathrooms
• 2 Parking spaces
• Fully furnished
• Vacant & Ready for Move-in
• Includes Kitchen Appliances
• Brand-new Tower
• Open & Fully Fitted Kitchen

Amenities:
• Gymnasium
• Shared Swimming Pool
• Built-in Wardrobes
• Sauna & Spa
• Breathtaking Landmark Views

About Aykon City Tower B

Located in Business Bay, Aykon City Tower B is a stunning residential complex with easy access to Sheikh Zayed Road and Al Meydan Road. The tower offers partial canal views and proximity to Dubai’s major attractions.
• 7 minutes to Dubai Mall
• 15 minutes to Dubai International Airport
• Near Meydan Racecourse

About Smart Start Properties

At Smart Start Properties, we redefine real estate with a boutique approach, offering exceptional service, expert advice, and comprehensive support for property sales, purchases, and rentals. We cater to both local and international clients—because we speak your language.",,,2025-09-24T10:05:41Z,7128110500,25.180150985717773,55.252418518066406,8
buy,Apartment,2850000.0,,1774.0,,2,3.0,1606.0,149.2,,Furnished,Completed,,Executive Tower B,Executive Towers,Business Bay,Dubai,Burj Khalifa,Vastu | Large Two Bedroom | High Floor,"Vastu | Large Two Bedroom | High Floor

- Large Two Bedroom 
- Rented until September for 150k 
- Close To Metro                        
- Closed Kitchen               
- Vastu Compliant 
- Children's Playroom / Play area
- Children's pool
- 1606 Sq.Ft               

This 2-bedroom apartment offers a spacious and well-designed layout, ensuring comfort and convenience. Vastu-compliant, the apartment is thoughtfully arranged to promote positive energy flow and harmony. It features modern finishes, large windows with city views, a fully equipped kitchen, and ample storage space. Located in the vibrant Business Bay area, the apartment offers easy access to key amenities, making it an ideal choice for both work and leisure.               

Finance is available on this property through Allsopp & Allsopp Mortgage Services.    

Please note all measurements and information are given to the best of our knowledge. Allsopp & Allsopp accept no liability for any incorrect details.",,"[""Balcony"", ""View of Water"", ""View of Landmark""]",2026-01-20T11:10:24Z,7125228800,25.192522048950195,55.26631546020508,21
buy,Apartment,2250000.0,,1622.0,,2,2.0,1387.0,128.86,,Furnished,Completed,,Tower A,DAMAC Towers by Paramount,Business Bay,Dubai,Business Bay,2 Beds | Elegant | High Floor | Furnished,"Furnished 2-Bedroom | Damac Towers by Paramount – Business Bay

Allsopp & Allsopp are pleased to offer this beautifully furnished 2-bedroom apartment in the iconic Damac Towers by Paramount. Set on a high floor, this stylish unit features spacious living and a balcony that stretches the length of the apartment.

- Furnished
-Two Large Bedrooms
- Balcony
- Approx. 1,387 Sq. Ft.
- High Floor
- Built-in Wardrobes
- Open Kitchen & Living Area
- Great Location
- Amazing Pool Area
- Gym & Wellness Facilities
- 24/7 Security & Concierge

The apartment boasts an open-plan layout, with a well-equipped kitchen flowing into a bright living space. Both bedrooms are generously sized, and the balcony offers panoramic views of the surrounding city.

Finance is available on this property through Allsopp & Allsopp Mortgage Services.

Please note all measurements and information are given to the best of our knowledge. Allsopp & Allsopp accept no liability for any incorrect details.",,"[""Balcony"", ""View of Landmark""]",2026-01-12T07:30:25Z,7117446122,25.186037063598633,55.291751861572266,16
buy,Apartment,2000000.0,,2320.0,,1,2.0,862.0,80.08,,Furnished,Completed,,,Paramount Tower Hotel & Residences,Business Bay,Dubai,Business Bay,Hotel Apartment | High ROI | Stunning Views,"Luxurious 1-Bedroom Hotel Room for SALE | Paramount Tower Hotel & Residences, Business Bay

This elegantly furnished 1-bedroom apartment in Paramount Tower Hotel & Residences offers the perfect blend of luxury, comfort, and convenience in the heart of Business Bay.

Unit Details
- Low Floor – Stunning city views (Between 15th - 24th floor)
- Size: 862 sq. ft.
- Fully Furnished – Stylish, modern interiors
- Bathrooms: 2


Exclusive Features & Amenities
- Balcony – Enjoy breathtaking city views
- Broadband Ready & Central AC – Stay connected and comfortable
- State-of-the-Art Gym & Sauna – Wellness at your doorstep
- Infinity Pool & Jacuzzi – Resort-style relaxation
- Children’s Play Area & Nursery – Family-friendly environment
- Concierge & Maid Service – 5-star hospitality
- Shops, Restaurants & Dining in the Building – Ultimate convenience
- Conference Room & Business Facilities – Perfect for professionals

Prime Location – Business Bay
- Dubai’s Financial & Lifestyle Hub – Home to corporate high-rises, luxury apartments & 5-star hotels
- Easy Connectivity – Close to Metro, Sheikh Zayed Road & Downtown Dubai
- Minutes Away from Dubai Mall, Burj Khalifa & DIFC

Ask us about:
- Mortgage Advisory
- Property Management
- Holiday Homes
- Interior Design

Experience Paramount’s signature Hollywood-style luxury—book your viewing today!",,"[""Security"", ""Children's Play Area"", ""Covered Parking"", ""Lobby in Building"", ""Balcony"", ""Central A/C"", ""Shared Pool"", ""Maid Service"", ""Concierge"", ""Children's Pool""]",2026-01-12T08:59:42Z,7132464979,25.193450927734375,55.26512145996094,12
buy,Apartment,2550000.0,,3223.0,,1,1.0,791.0,73.49,,Unfurnished,Completed,,,Trillionaire Residences,Business Bay,Dubai,Business Bay,BEST 1BHK/CANAL VIEW/HIGH FLOOR/READY,"fam Properties is delightful to present this unique , luxury 1 BHK in Trillionaire by Binghatti 

Trillionire buy Binghatti is a new project in Business bay , in a prime location on the canal , near to public transportations , newly handed over in April 2025
Super luxury building with high quality finishing , kitchen appliances , amazing views , state of the art amenities , private jacuzzies .

Are you looking for a stylish, modern 1BHK apartment in a prime location ? This beautifully designed unit offers the perfect blend of comfort , convenience , and investment potential .
this apartment is an excellent choice.

PROPERTY DETAILS:
* TYPE : 1 bhk
* Corner unit 
* High floor
* LOCATION : Business bay
* VIEW : Full canal view and main road 
* CONDITION : ready to move
* BALCONY : yes
* PARKING : yes 

 KEY FEATURES & HGHLIGHTS :
* Spacious and well  designed layout .
* High  quality finishes and modern interiors .
* Floor to ceiling windows for natural light.
* Open kitchen with premium appliances.
* Built in wardrobes ample storage.
* Smart home technology 

BUILDING & COMMUNITY AMENITIES :
* Swimming pool & sun deck   prefect for relaxation .
* State of the art gym   stay fit with top notch facilities.
* 24/7 security & concierge   for your peace of mind.
* Dedicated parking space   hassle free parking.
* Retail & dining options  near the building 
* Children play area   family friendly environment.

PRIME LOCATION & CONNECTIVITY:
* 7 minutes to ( Down town )
* 15 minutes to ( Dubai international airport )
* 15 minutes to (Dubai Marina )
* Easy access to major high ways ( Sheikh Zayed Road ,Mohammad Bin Rashed Road , Al Khail road )


 Call or whatsapp for more details or to schedule a viewing.
 
fam Properties.",,"[""Built in Wardrobes"", ""Kitchen Appliances"", ""Balcony"", ""Private Jacuzzi"", ""View of Water"", ""Shared Gym"", ""Shared Pool""]",2025-11-03T13:54:52Z,71508674926,25.184173583984375,55.28052520751953,15
buy,Apartment,1550000.0,,3546.0,,Studio,1.0,437.0,40.6,,Partially furnished,Off-plan,,Canal Crown 1,Canal Crown,Business Bay,Dubai,Business Bay,Luxury Living | Business Bay | High ROI,"FOR YOU REAL ESTATE is thrilled to present you this bright and modern studio apartment located in the heart of Business Bay, this architectural gem offers stunning views of the Dubai Canal and Burj Khalifa skyline. 

Discover a new level of elegance and innovation at Canal Crown, a futuristic waterfront residential development by Damac in collaboration with the iconic de GRISOGONO. 

World-Class Amenities:

Planet-inspired gardens and floating sensory pods
Rooftop observation deck with panoramic views
UFO-style spa capsules & VR swimming experience
State-of-the-art gym, infinity pool, and wellness zones
24/7 concierge and valet services

Prime Location:

Direct access to Dubai Canal promenade
Minutes from Downtown Dubai & DIFC

Easy connectivity via Sheikh Zayed Road

In FOR YOU REAL ESTATE
We provide a full range of services from consulting and selection of investment-profitable real estate to receiving dividends from your investments.
Advantages of working with us:
- Detailed market analysis — we will select the appropriate object based on your request
- We will take over the entire transaction process from purchase to sale, marketing placement and rental
- Many developers have access to exclusive lots and the best options
- We provide first-class service. We are always for long-term cooperation
- Our team has the best brokers
- We have been working in the market with premium clients for a long time.
For You Real Estate L.L.C. is based in The Onyx Tower 2, office 505 with a team of agents who are focused on the sales, rentals and management of properties in Dubai.",,"[""Balcony"", ""Built in Wardrobes"", ""Kitchen Appliances"", ""Pets Allowed"", ""Shared Pool"", ""Concierge"", ""Security"", ""Shared Spa"", ""Shared Gym"", ""Lobby in Building""]",2025-05-19T10:05:53Z,71534544575,25.18204116821289,55.280303955078125,21
